 ,SER_PEDAG,PUERI,EDUCA,ASIST,ADMON,MED,ODONT,PSICOL,ENFER,TRAB_SOC,ECON,NUTR,DIET,COCIN,ASIST_COCIN,ENC_ALMA,BANC_LECH,AUX_BL,AUX_INTEN,LAVANDEROS,VIGILANTES,TEC_MANT,CONSERJ,OTROS
Arcoiris,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MiCasita ,1,2,0,8,4,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0
Firenze,2,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FrancoCan,1,18,0,12,2,0,0,0,2,0,0,1,0,1,3,0,1,0,5,0,1,0,0,0
Franco_Can2,1,0,0,7,0,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0
Estancia ,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Londres,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervantes,3,1,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3
Pilares,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Psicred,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Motolinía,2,4,1,6,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0
Inglesa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSSTE75,2,13,0,0,3,1,0,0,1,1,0,0,1,1,1,0,0,0,5,0,2,0,0,0
ISSSTE76,3,1,1,2,6,1,0,1,1,1,0,1,0,1,4,0,1,0,3,1,2,0,0,0
Kindergym,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Cendi1,2,0,3,8,4,1,0,1,1,1,0,1,0,1,2,1,1,0,0,1,0,0,2,3
Mundofel ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NanaChip ,3,5,0,3,3,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0
Blackaller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
